起报时间,预报时间,实际功率 (MW),FusionModel预测功率 (MW)
2018-08-26,2018-08-27 00:00:00,1.297266,1.3102431
2018-08-26,2018-08-27 00:15:00,1.18125,1.5823158
2018-08-26,2018-08-27 00:30:00,1.887891,1.8524657
2018-08-26,2018-08-27 00:45:00,2.021484,2.1270545
2018-08-26,2018-08-27 01:00:00,2.285156,2.4090242
2018-08-26,2018-08-27 01:15:00,2.478516,2.6541684
2018-08-26,2018-08-27 01:30:00,2.657812,2.9011714
2018-08-26,2018-08-27 01:45:00,2.844141,3.0904782
2018-08-26,2018-08-27 02:00:00,3.121875,3.2786527
2018-08-26,2018-08-27 02:15:00,3.287109,3.4542804
2018-08-26,2018-08-27 02:30:00,2.309766,3.580534
2018-08-26,2018-08-27 02:45:00,3.427734,3.653326
2018-08-26,2018-08-27 03:00:00,2.211328,3.7884002
2018-08-26,2018-08-27 03:15:00,3.469922,3.821605
2018-08-26,2018-08-27 03:30:00,3.15,3.8516026
2018-08-26,2018-08-27 03:45:00,3.410156,3.9260526
2018-08-26,2018-08-27 04:00:00,4.151953,3.919816
2018-08-26,2018-08-27 04:15:00,3.670312000000001,3.978078
2018-08-26,2018-08-27 04:30:00,3.596484,3.9513137
2018-08-26,2018-08-27 04:45:00,3.723047,3.8509016
2018-08-26,2018-08-27 05:00:00,2.580469,3.8171868
2018-08-26,2018-08-27 05:15:00,2.696484,3.7697315
2018-08-26,2018-08-27 05:30:00,4.310156,3.6626503
2018-08-26,2018-08-27 05:45:00,2.844141,3.6768286
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.5236316
2018-08-26,2018-08-27 06:15:00,3.596484,3.340109
2018-08-26,2018-08-27 06:30:00,3.336328,3.2003493
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,3.023596
2018-08-26,2018-08-27 07:00:00,3.026953,2.8826914
2018-08-26,2018-08-27 07:15:00,3.055078,2.6486826
2018-08-26,2018-08-27 07:30:00,2.896875,2.450542
2018-08-26,2018-08-27 07:45:00,2.735156,2.237396
2018-08-26,2018-08-27 08:00:00,2.376562,1.9705437
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.7414706
2018-08-26,2018-08-27 08:30:00,2.288672,1.4810482
2018-08-26,2018-08-27 08:45:00,2.014453,1.249592
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,1.0037346
2018-08-26,2018-08-27 09:15:00,0.569531,0.82428175
2018-08-26,2018-08-27 09:30:00,0.569531,0.632276
2018-08-26,2018-08-27 09:45:00,0.492188,0.40576684
2018-08-26,2018-08-27 10:00:00,0.428906,0.23636459
2018-08-26,2018-08-27 10:15:00,0.158203,0.085748695
2018-08-26,2018-08-27 10:30:00,0.035156,0.023355521
2018-08-26,2018-08-27 10:45:00,0.0,-0.030298226
2018-08-26,2018-08-27 11:00:00,0.0,-0.070957646
2018-08-26,2018-08-27 11:15:00,0.0,-0.08319832
2018-08-26,2018-08-27 11:30:00,0.0,-0.090501726
2018-08-26,2018-08-27 11:45:00,0.0,-0.10198353
2018-08-26,2018-08-27 12:00:00,0.0,-0.10130562
2018-08-26,2018-08-27 12:15:00,0.0,-0.09794445
2018-08-26,2018-08-27 12:30:00,0.0,-0.08225861
2018-08-26,2018-08-27 12:45:00,0.0,-0.076813966
2018-08-26,2018-08-27 13:00:00,0.0,-0.087138325
2018-08-26,2018-08-27 13:15:00,0.0,-0.0706843
2018-08-26,2018-08-27 13:30:00,0.0,-0.08287186
2018-08-26,2018-08-27 13:45:00,0.0,-0.09812932
2018-08-26,2018-08-27 14:00:00,0.0,-0.07981232
2018-08-26,2018-08-27 14:15:00,0.0,-0.05731812
2018-08-26,2018-08-27 14:30:00,0.0,-0.035994783
2018-08-26,2018-08-27 14:45:00,0.0,-0.05768098
2018-08-26,2018-08-27 15:00:00,0.0,-0.04720202
2018-08-26,2018-08-27 15:15:00,0.0,-0.049253404
2018-08-26,2018-08-27 15:30:00,0.0,-0.033902794
2018-08-26,2018-08-27 15:45:00,0.0,-0.03139084
2018-08-26,2018-08-27 16:00:00,0.0,-0.026646882
2018-08-26,2018-08-27 16:15:00,0.0,-0.01781033
2018-08-26,2018-08-27 16:30:00,0.0,-0.012290686
2018-08-26,2018-08-27 16:45:00,0.0,-0.0027300864
2018-08-26,2018-08-27 17:00:00,0.0,0.0031948313
2018-08-26,2018-08-27 17:15:00,0.0,0.007107705
2018-08-26,2018-08-27 17:30:00,0.0,-0.0050290227
2018-08-26,2018-08-27 17:45:00,0.0,-0.0139768645
2018-08-26,2018-08-27 18:00:00,0.0,-0.008643301
2018-08-26,2018-08-27 18:15:00,0.0,-0.0051353965
2018-08-26,2018-08-27 18:30:00,0.0,-0.021743827
2018-08-26,2018-08-27 18:45:00,0.0,-0.012008201
2018-08-26,2018-08-27 19:00:00,0.0,-0.013724549
2018-08-26,2018-08-27 19:15:00,0.0,-0.023536617
2018-08-26,2018-08-27 19:30:00,0.0,-0.0068468563
2018-08-26,2018-08-27 19:45:00,0.0,-0.023950327
2018-08-26,2018-08-27 20:00:00,0.0,-0.051116493
2018-08-26,2018-08-27 20:15:00,0.0,-0.054846544
2018-08-26,2018-08-27 20:30:00,0.0,-0.048548393
2018-08-26,2018-08-27 20:45:00,0.0,-0.056721896
2018-08-26,2018-08-27 21:00:00,0.0,-0.0684899
2018-08-26,2018-08-27 21:15:00,0.0,-0.057089116
2018-08-26,2018-08-27 21:30:00,0.0,-0.04103819
2018-08-26,2018-08-27 21:45:00,0.0,-0.042427585
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,-0.018163249
2018-08-26,2018-08-27 22:15:00,0.0,0.032951612
2018-08-26,2018-08-27 22:30:00,0.196875,0.120214194
2018-08-26,2018-08-27 22:45:00,0.319922,0.21996118
2018-08-26,2018-08-27 23:00:00,0.341016,0.36771986
2018-08-26,2018-08-27 23:15:00,0.551953,0.51182705
2018-08-26,2018-08-27 23:30:00,0.566016,0.7256642
2018-08-26,2018-08-27 23:45:00,0.73125,0.946136
2018-08-26,2018-08-27 00:15:00,1.18125,1.4788084
2018-08-26,2018-08-27 00:30:00,1.887891,1.7464349
2018-08-26,2018-08-27 00:45:00,2.021484,2.0026624
2018-08-26,2018-08-27 01:00:00,2.285156,2.26386
2018-08-26,2018-08-27 01:15:00,2.478516,2.5292916
