起报时间,预报时间,实际功率 (MW),PureLSTM预测功率 (MW)
2018-08-26,2018-08-27 00:00:00,1.297266,1.2506634
2018-08-26,2018-08-27 00:15:00,1.18125,1.4070932
2018-08-26,2018-08-27 00:30:00,1.887891,1.5658792
2018-08-26,2018-08-27 00:45:00,2.021484,1.7022797
2018-08-26,2018-08-27 01:00:00,2.285156,1.8734826
2018-08-26,2018-08-27 01:15:00,2.478516,2.0696654
2018-08-26,2018-08-27 01:30:00,2.657812,2.250756
2018-08-26,2018-08-27 01:45:00,2.844141,2.430744
2018-08-26,2018-08-27 02:00:00,3.121875,2.5549526
2018-08-26,2018-08-27 02:15:00,3.287109,2.719782
2018-08-26,2018-08-27 02:30:00,2.309766,2.8597524
2018-08-26,2018-08-27 02:45:00,3.427734,2.9496872
2018-08-26,2018-08-27 03:00:00,2.211328,3.0845513
2018-08-26,2018-08-27 03:15:00,3.469922,3.1719377
2018-08-26,2018-08-27 03:30:00,3.15,3.2318962
2018-08-26,2018-08-27 03:45:00,3.410156,3.3147194
2018-08-26,2018-08-27 04:00:00,4.151953,3.3220174
2018-08-26,2018-08-27 04:15:00,3.670312000000001,3.3636403
2018-08-26,2018-08-27 04:30:00,3.596484,3.4033108
2018-08-26,2018-08-27 04:45:00,3.723047,3.4578924
2018-08-26,2018-08-27 05:00:00,2.580469,3.4526107
2018-08-26,2018-08-27 05:15:00,2.696484,3.4028988
2018-08-26,2018-08-27 05:30:00,4.310156,3.3236501
2018-08-26,2018-08-27 05:45:00,2.844141,3.2854462
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.183991
2018-08-26,2018-08-27 06:15:00,3.596484,3.0536554
2018-08-26,2018-08-27 06:30:00,3.336328,2.9315288
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,2.7715557
2018-08-26,2018-08-27 07:00:00,3.026953,2.6069481
2018-08-26,2018-08-27 07:15:00,3.055078,2.3994477
2018-08-26,2018-08-27 07:30:00,2.896875,2.1616657
2018-08-26,2018-08-27 07:45:00,2.735156,1.9330456
2018-08-26,2018-08-27 08:00:00,2.376562,1.6334164
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.3699914
2018-08-26,2018-08-27 08:30:00,2.288672,1.1212282
2018-08-26,2018-08-27 08:45:00,2.014453,0.8620588
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,0.6015078
2018-08-26,2018-08-27 09:15:00,0.569531,0.42572835
2018-08-26,2018-08-27 09:30:00,0.569531,0.27515566
2018-08-26,2018-08-27 09:45:00,0.492188,0.14725934
2018-08-26,2018-08-27 10:00:00,0.428906,0.082330704
2018-08-26,2018-08-27 10:15:00,0.158203,0.022646986
2018-08-26,2018-08-27 10:30:00,0.035156,0.0063321553
2018-08-26,2018-08-27 10:45:00,0.0,0.008567807
2018-08-26,2018-08-27 11:00:00,0.0,0.019662619
2018-08-26,2018-08-27 11:15:00,0.0,0.009739995
2018-08-26,2018-08-27 11:30:00,0.0,0.008578811
2018-08-26,2018-08-27 11:45:00,0.0,0.029406793
2018-08-26,2018-08-27 12:00:00,0.0,0.04843677
2018-08-26,2018-08-27 12:15:00,0.0,0.0533489
2018-08-26,2018-08-27 12:30:00,0.0,0.054919437
2018-08-26,2018-08-27 12:45:00,0.0,0.04827667
2018-08-26,2018-08-27 13:00:00,0.0,0.024826363
2018-08-26,2018-08-27 13:15:00,0.0,0.026680946
2018-08-26,2018-08-27 13:30:00,0.0,0.007982135
2018-08-26,2018-08-27 13:45:00,0.0,0.023869626
2018-08-26,2018-08-27 14:00:00,0.0,0.004286742
2018-08-26,2018-08-27 14:15:00,0.0,-0.0007602982
2018-08-26,2018-08-27 14:30:00,0.0,0.0150769055
2018-08-26,2018-08-27 14:45:00,0.0,0.030227697
2018-08-26,2018-08-27 15:00:00,0.0,0.038806662
2018-08-26,2018-08-27 15:15:00,0.0,0.062331975
2018-08-26,2018-08-27 15:30:00,0.0,0.068368584
2018-08-26,2018-08-27 15:45:00,0.0,0.074841365
2018-08-26,2018-08-27 16:00:00,0.0,0.05787781
2018-08-26,2018-08-27 16:15:00,0.0,0.039465923
2018-08-26,2018-08-27 16:30:00,0.0,0.03419035
2018-08-26,2018-08-27 16:45:00,0.0,0.013332814
2018-08-26,2018-08-27 17:00:00,0.0,0.0025002062
2018-08-26,2018-08-27 17:15:00,0.0,-0.007966973
2018-08-26,2018-08-27 17:30:00,0.0,-0.005482301
2018-08-26,2018-08-27 17:45:00,0.0,0.0018312782
2018-08-26,2018-08-27 18:00:00,0.0,0.0030004084
2018-08-26,2018-08-27 18:15:00,0.0,-0.006986484
2018-08-26,2018-08-27 18:30:00,0.0,0.019621454
2018-08-26,2018-08-27 18:45:00,0.0,0.017568443
2018-08-26,2018-08-27 19:00:00,0.0,0.031956103
2018-08-26,2018-08-27 19:15:00,0.0,0.04611405
2018-08-26,2018-08-27 19:30:00,0.0,0.027188241
2018-08-26,2018-08-27 19:45:00,0.0,0.020359918
2018-08-26,2018-08-27 20:00:00,0.0,0.0261187
2018-08-26,2018-08-27 20:15:00,0.0,0.014126241
2018-08-26,2018-08-27 20:30:00,0.0,0.008389555
2018-08-26,2018-08-27 20:45:00,0.0,-0.010882977
2018-08-26,2018-08-27 21:00:00,0.0,-0.033965483
2018-08-26,2018-08-27 21:15:00,0.0,-0.041051794
2018-08-26,2018-08-27 21:30:00,0.0,-0.029115759
2018-08-26,2018-08-27 21:45:00,0.0,-0.01896952
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,0.029288828
2018-08-26,2018-08-27 22:15:00,0.0,0.07863933
2018-08-26,2018-08-27 22:30:00,0.196875,0.1535759
2018-08-26,2018-08-27 22:45:00,0.319922,0.28005412
2018-08-26,2018-08-27 23:00:00,0.341016,0.42745954
2018-08-26,2018-08-27 23:15:00,0.551953,0.6143679
2018-08-26,2018-08-27 23:30:00,0.566016,0.81976324
2018-08-26,2018-08-27 23:45:00,0.73125,1.0492605
2018-08-26,2018-08-27 00:15:00,1.18125,1.411036
2018-08-26,2018-08-27 00:30:00,1.887891,1.5709785
2018-08-26,2018-08-27 00:45:00,2.021484,1.7284664
2018-08-26,2018-08-27 01:00:00,2.285156,1.8628511
2018-08-26,2018-08-27 01:15:00,2.478516,2.0357141
2018-08-26,2018-08-27 01:30:00,2.657812,2.2257068
2018-08-26,2018-08-27 01:45:00,2.844141,2.4006867
2018-08-26,2018-08-27 02:00:00,3.121875,2.5734978
2018-08-26,2018-08-27 02:15:00,3.287109,2.6901782
2018-08-26,2018-08-27 02:30:00,2.309766,2.837999
2018-08-26,2018-08-27 02:45:00,3.427734,2.9644077
2018-08-26,2018-08-27 03:00:00,2.211328,3.0345042
2018-08-26,2018-08-27 03:15:00,3.469922,3.1513944
2018-08-26,2018-08-27 03:30:00,3.15,3.2193
2018-08-26,2018-08-27 03:45:00,3.410156,3.2616515
2018-08-26,2018-08-27 04:00:00,4.151953,3.3191724
2018-08-26,2018-08-27 04:15:00,3.670312000000001,3.3051755
2018-08-26,2018-08-27 04:30:00,3.596484,3.3249874
2018-08-26,2018-08-27 04:45:00,3.723047,3.3454382
2018-08-26,2018-08-27 05:00:00,2.580469,3.372996
2018-08-26,2018-08-27 05:15:00,2.696484,3.346476
2018-08-26,2018-08-27 05:30:00,4.310156,3.2717261
2018-08-26,2018-08-27 05:45:00,2.844141,3.168198
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.1102834
2018-08-26,2018-08-27 06:15:00,3.596484,2.9832275
2018-08-26,2018-08-27 06:30:00,3.336328,2.8351212
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,2.6922116
2018-08-26,2018-08-27 07:00:00,3.026953,2.5154068
2018-08-26,2018-08-27 07:15:00,3.055078,2.3361912
2018-08-26,2018-08-27 07:30:00,2.896875,2.1190965
2018-08-26,2018-08-27 07:45:00,2.735156,1.8763162
2018-08-26,2018-08-27 08:00:00,2.376562,1.6488959
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.3589096
2018-08-26,2018-08-27 08:30:00,2.288672,1.1114248
2018-08-26,2018-08-27 08:45:00,2.014453,0.88751876
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,0.6597839
2018-08-26,2018-08-27 09:15:00,0.569531,0.4348997
2018-08-26,2018-08-27 09:30:00,0.569531,0.29299882
2018-08-26,2018-08-27 09:45:00,0.492188,0.17954905
