起报时间,预报时间,实际功率,PureLSTM预测功率,FusionModel预测功率,BiFusionModel预测功率
2019-02-22,2019-02-23 00:00:00,0.351562,0.23977888,0.2432428,0.20495933
2019-02-22,2019-02-23 00:15:00,0.520312,0.32281768,0.28299305,0.25900108
2019-02-22,2019-02-23 00:30:00,0.734766,0.4706174,0.40899247,0.36511204
2019-02-22,2019-02-23 00:45:00,0.994922,0.6382061,0.46208614,0.4665082
2019-02-22,2019-02-23 01:00:00,1.241016,0.8137949,0.569448,0.612042
2019-02-22,2019-02-23 01:15:00,1.480078,0.99483883,0.7077884,0.7379204
2019-02-22,2019-02-23 01:30:00,1.712109,1.1627635,0.7941557,0.91465974
2019-02-22,2019-02-23 01:45:00,2.003906,1.3690126,0.9142968,1.0507098
2019-02-22,2019-02-23 02:00:00,2.267578,1.539713,1.0126121,1.1959375
2019-02-22,2019-02-23 02:15:00,2.576953,1.7292969,1.1214943,1.337079
2019-02-22,2019-02-23 02:30:00,2.784375,1.8867067,1.2494993,1.484442
2019-02-22,2019-02-23 02:45:00,3.005859,2.064776,1.3615521,1.6013412
2019-02-22,2019-02-23 03:00:00,3.128906,2.2211382,1.4710059,1.7203288
2019-02-22,2019-02-23 03:15:00,3.174609,2.3747401,1.576527,1.7839864
2019-02-22,2019-02-23 03:30:00,3.364453,2.4713695,1.7088215,1.8573498
2019-02-22,2019-02-23 03:45:00,3.455859,2.605787,1.8379791,1.9190435
2019-02-22,2019-02-23 04:00:00,3.533203,2.6727269,1.9251842,1.9372693
2019-02-22,2019-02-23 04:15:00,3.614062,2.7830188,1.9817717,1.9570198
2019-02-22,2019-02-23 04:30:00,3.607031,2.7950356,2.0346441,1.9703041
2019-02-22,2019-02-23 04:45:00,3.3433589999999995,2.8213415,2.087937,1.9596927
2019-02-22,2019-02-23 05:00:00,3.4066410000000005,2.839856,2.079523,1.9145498
2019-02-22,2019-02-23 05:15:00,3.571875,2.7896504,2.0512934,1.9538678
2019-02-22,2019-02-23 05:30:00,3.494531,2.7756202,2.0502532,1.9209646
2019-02-22,2019-02-23 05:45:00,3.290625,2.681286,1.9538484,1.8856856
2019-02-22,2019-02-23 06:00:00,3.353906,2.5872824,1.9052749,1.8185946
2019-02-22,2019-02-23 06:15:00,3.2449220000000003,2.4972544,1.841618,1.743073
2019-02-22,2019-02-23 06:30:00,2.946094,2.3701391,1.7604839,1.6636924
2019-02-22,2019-02-23 06:45:00,2.960156,2.2185984,1.5990353,1.5858955
2019-02-22,2019-02-23 07:00:00,2.633203,2.0345855,1.4645964,1.4815242
2019-02-22,2019-02-23 07:15:00,2.387109,1.8227423,1.2802664,1.3649625
2019-02-22,2019-02-23 07:30:00,2.102344,1.649453,1.17073,1.2474304
2019-02-22,2019-02-23 07:45:00,1.919531,1.4242651,1.0172993,1.1237156
2019-02-22,2019-02-23 08:00:00,1.508203,1.1787997,0.87105364,1.0051523
2019-02-22,2019-02-23 08:15:00,1.272656,1.0223069,0.7479195,0.8568457
2019-02-22,2019-02-23 08:30:00,1.037109,0.8430626,0.5692981,0.740624
2019-02-22,2019-02-23 08:45:00,0.713672,0.69853306,0.471905,0.6192267
2019-02-22,2019-02-23 09:00:00,0.4710939999999999,0.50995356,0.39506188,0.49382752
2019-02-22,2019-02-23 09:15:00,0.319922,0.4084603,0.24258299,0.42495817
2019-02-22,2019-02-23 09:30:00,0.186328,0.28759277,0.19187367,0.31144896
2019-02-22,2019-02-23 09:45:00,0.014062,0.18219517,0.120105796,0.24755503
2019-02-22,2019-02-23 10:00:00,0.0,0.06320017,0.05115348,0.15588298
2019-02-22,2019-02-23 10:15:00,0.0,0.050372835,0.013367051,0.08129096
2019-02-22,2019-02-23 10:30:00,0.0,0.012989501,0.0073401444,0.04657247
2019-02-22,2019-02-23 10:45:00,0.0,0.037597306,-0.015832547,0.0062309485
2019-02-22,2019-02-23 11:00:00,0.0,0.05204989,-0.028311377,-0.024439018
2019-02-22,2019-02-23 11:15:00,0.0,0.04074313,-0.021974519,-0.022651333
2019-02-22,2019-02-23 11:30:00,0.0,0.03505587,-0.015778888,-0.031886723
2019-02-22,2019-02-23 11:45:00,0.0,0.0631346,0.004733555,-0.016721457
2019-02-22,2019-02-23 12:00:00,0.0,0.05022738,-0.011177908,-0.0032651108
2019-02-22,2019-02-23 12:15:00,0.0,0.07565339,-0.011275505,0.0031306844
2019-02-22,2019-02-23 12:30:00,0.0,0.08102856,0.0002846956,0.0351451
2019-02-22,2019-02-23 12:45:00,0.0,0.057350572,0.005026625,0.0364158
2019-02-22,2019-02-23 13:00:00,0.0,0.012840455,0.029564453,0.040670317
2019-02-22,2019-02-23 13:15:00,0.0,0.05013523,0.00934578,0.044615503
2019-02-22,2019-02-23 13:30:00,0.0,0.030332126,-0.031496093,0.037756
2019-02-22,2019-02-23 13:45:00,0.0,0.04023374,-0.024734072,0.023037545
2019-02-22,2019-02-23 14:00:00,0.0,0.020130366,-0.037673187,0.026567219
2019-02-22,2019-02-23 14:15:00,0.0,-0.03221181,-0.026239643,0.019599821
2019-02-22,2019-02-23 14:30:00,0.0,-0.01666678,-0.017628925,0.015889684
2019-02-22,2019-02-23 14:45:00,0.0,-0.017343407,-0.026722848,0.0076853815
2019-02-22,2019-02-23 15:00:00,0.0,-0.036316227,-0.060114447,-0.0020723913
2019-02-22,2019-02-23 15:15:00,0.0,-0.012722973,-0.026597619,0.0111959
2019-02-22,2019-02-23 15:30:00,0.0,-0.015050164,-0.06234901,0.012162367
2019-02-22,2019-02-23 15:45:00,0.0,-0.019467894,-0.05672203,0.026734596
2019-02-22,2019-02-23 16:00:00,0.0,-0.0058033294,-0.042313445,0.027348634
2019-02-22,2019-02-23 16:15:00,0.0,0.01575249,-0.043237537,0.02811322
2019-02-22,2019-02-23 16:30:00,0.0,0.0295446,-0.03654668,0.041046437
2019-02-22,2019-02-23 16:45:00,0.0,0.025234394,-0.044133842,0.05286539
2019-02-22,2019-02-23 17:00:00,0.0,0.03186311,-0.01929739,0.063969895
2019-02-22,2019-02-23 17:15:00,0.0,0.029423783,0.005878037,0.04863552
2019-02-22,2019-02-23 17:30:00,0.0,0.0086702015,-0.022320837,0.03835863
2019-02-22,2019-02-23 17:45:00,0.0,0.0025751812,-0.019458544,0.040705346
2019-02-22,2019-02-23 18:00:00,0.0,-0.02287951,-0.043771226,0.020107321
2019-02-22,2019-02-23 18:15:00,0.0,-0.02448493,-0.018064909,0.007272154
2019-02-22,2019-02-23 18:30:00,0.0,-0.012838316,-2.3866942e-05,-0.012465935
2019-02-22,2019-02-23 18:45:00,0.0,-0.008037563,-0.02468528,-0.03255752
2019-02-22,2019-02-23 19:00:00,0.0,0.013175622,-0.013245186,-0.05554775
2019-02-22,2019-02-23 19:15:00,0.0,0.013603704,-0.048789132,-0.06501731
2019-02-22,2019-02-23 19:30:00,0.0,0.0137034105,-0.06519806,-0.085789725
2019-02-22,2019-02-23 19:45:00,0.0,-0.0102039,-0.04150097,-0.08283854
2019-02-22,2019-02-23 20:00:00,0.0,0.014625538,-0.03717416,-0.08283797
2019-02-22,2019-02-23 20:15:00,0.0,0.011116727,-0.07728182,-0.08774982
2019-02-22,2019-02-23 20:30:00,0.0,0.017598825,-0.08944934,-0.0888052
2019-02-22,2019-02-23 20:45:00,0.0,0.035508208,-0.07979448,-0.09184571
2019-02-22,2019-02-23 21:00:00,0.0,0.022206873,-0.06143643,-0.078696415
2019-02-22,2019-02-23 21:15:00,0.0,0.01284239,-0.09123481,-0.05894642
2019-02-22,2019-02-23 21:30:00,0.0,0.03758208,-0.07204776,-0.038587455
2019-02-22,2019-02-23 21:45:00,0.0,0.05607114,-0.08137215,-0.030595403
2019-02-22,2019-02-23 22:00:00,0.0,0.05051784,-0.06040505,-0.016836861
2019-02-22,2019-02-23 22:15:00,0.0,0.045753833,-0.020941246,-0.025565209
2019-02-22,2019-02-23 22:30:00,0.0,0.059762083,-0.008266655,-0.00996167
2019-02-22,2019-02-23 22:45:00,0.0,0.054095987,0.038909227,0.04218466
2019-02-22,2019-02-23 23:00:00,0.0,0.08012338,0.032104358,0.036144193
2019-02-22,2019-02-23 23:15:00,0.035156,0.09823913,0.035161983,0.069164686
2019-02-22,2019-02-23 23:30:00,0.133594,0.1369367,0.07924596,0.12487737
2019-02-22,2019-02-23 23:45:00,0.228516,0.19806607,0.13035399,0.16014032
2019-02-23,2019-02-24 00:00:00,0.400781,0.45758173,0.39093795,0.43528512
2019-02-23,2019-02-24 00:15:00,0.573047,0.60190475,0.5218174,0.57097393
2019-02-23,2019-02-24 00:30:00,0.769922,0.7719222,0.74576664,0.7450795
2019-02-23,2019-02-24 00:45:00,0.95625,1.0102576,0.9087046,0.9341666
2019-02-23,2019-02-24 01:00:00,1.209375,1.2339871,1.1121869,1.15485
2019-02-23,2019-02-24 01:15:00,1.466016,1.4263918,1.3283883,1.377454
2019-02-23,2019-02-24 01:30:00,1.613672,1.6294752,1.4896611,1.6279067
2019-02-23,2019-02-24 01:45:00,1.880859,1.8354143,1.6770374,1.8190086
2019-02-23,2019-02-24 02:00:00,2.077734,1.9666241,1.8254014,2.0539703
2019-02-23,2019-02-24 02:15:00,1.996875,2.113713,1.978762,2.1995819
2019-02-23,2019-02-24 02:30:00,2.358984,2.208908,2.1433148,2.4146307
2019-02-23,2019-02-24 02:45:00,2.580469,2.3382862,2.2300596,2.510173
2019-02-23,2019-02-24 03:00:00,2.351953,2.4690883,2.3608077,2.6795018
2019-02-23,2019-02-24 03:15:00,2.053125,2.5199373,2.443671,2.72747
2019-02-23,2019-02-24 03:30:00,2.264062,2.553607,2.5949416,2.8361986
2019-02-23,2019-02-24 03:45:00,1.958203,2.5465071,2.6974568,2.8626158
2019-02-23,2019-02-24 04:00:00,1.497656,2.579905,2.7863207,2.8575053
2019-02-23,2019-02-24 04:15:00,1.634766,2.5781922,2.81879,2.8820982
2019-02-23,2019-02-24 04:30:00,2.141016,2.3932347,2.8249834,2.924892
2019-02-23,2019-02-24 04:45:00,1.923047,2.339696,2.882773,2.8917434
2019-02-23,2019-02-24 05:00:00,2.489063,2.1864216,2.8351696,2.7862995
2019-02-23,2019-02-24 05:15:00,2.242969,2.016412,2.7738063,2.8342092
2019-02-23,2019-02-24 05:30:00,1.610156,1.9624542,2.8131223,2.799784
2019-02-23,2019-02-24 05:45:00,1.996875,1.7969587,2.7004924,2.7080054
2019-02-23,2019-02-24 06:00:00,1.469531,1.5469555,2.666702,2.6164494
2019-02-23,2019-02-24 06:15:00,1.314844,1.4078059,2.5627136,2.50639
2019-02-23,2019-02-24 06:30:00,1.381641,1.2351415,2.4949028,2.3539727
2019-02-23,2019-02-24 06:45:00,1.29375,1.0653286,2.3485975,2.2088463
2019-02-23,2019-02-24 07:00:00,1.142578,0.8392999,2.1796305,2.0970047
2019-02-23,2019-02-24 07:15:00,1.163672,0.6522338,2.0130403,1.8958161
2019-02-23,2019-02-24 07:30:00,1.117969,0.43849573,1.8631251,1.7090213
2019-02-23,2019-02-24 07:45:00,1.082812,0.28916934,1.6690656,1.474875
2019-02-23,2019-02-24 08:00:00,0.8085939999999999,0.18257011,1.4852085,1.291905
2019-02-23,2019-02-24 08:15:00,0.6152340000000001,0.07999966,1.3262684,1.0557892
2019-02-23,2019-02-24 08:30:00,0.464063,0.023412092,1.1140327,0.85850656
2019-02-23,2019-02-24 08:45:00,0.333984,0.032880735,0.9545833,0.67572755
2019-02-23,2019-02-24 09:00:00,0.2355469999999999,0.0426234,0.8143045,0.48353752
2019-02-23,2019-02-24 09:15:00,0.16875,0.02741581,0.5818115,0.36293298
2019-02-23,2019-02-24 09:30:00,0.126563,0.03876514,0.45714733,0.19566552
2019-02-23,2019-02-24 09:45:00,0.0210939999999999,0.056001432,0.35269538,0.08965541
2019-02-23,2019-02-24 10:00:00,0.0,0.07800942,0.22379681,-0.015853971
2019-02-23,2019-02-24 10:15:00,0.0,0.086141124,0.15758817,-0.1097239
2019-02-23,2019-02-24 10:30:00,0.0,0.17083883,0.07577146,-0.13231339
2019-02-23,2019-02-24 10:45:00,0.0,0.14792085,0.054566763,-0.16189466
2019-02-23,2019-02-24 11:00:00,0.0,0.16522409,0.019764945,-0.19028121
2019-02-23,2019-02-24 11:15:00,0.0,0.14269038,0.031127008,-0.15103301
2019-02-23,2019-02-24 11:30:00,0.0,0.15919505,-0.023351869,-0.14710768
2019-02-23,2019-02-24 11:45:00,0.0,0.1325149,0.027184775,-0.12683035
2019-02-23,2019-02-24 12:00:00,0.0,0.15329991,0.03102381,-0.10080783
2019-02-23,2019-02-24 12:15:00,0.0,0.15703571,0.034365103,-0.078804724
2019-02-23,2019-02-24 12:30:00,0.0,0.09106493,0.0772662,-0.018377421
2019-02-23,2019-02-24 12:45:00,0.0,0.06837751,0.06922214,-0.04406107
2019-02-23,2019-02-24 13:00:00,0.0,0.03574655,0.09530164,-0.018696107
2019-02-23,2019-02-24 13:15:00,0.0,0.0060564424,0.08656165,-0.010113082
2019-02-23,2019-02-24 13:30:00,0.0,0.038776908,0.023629928,-0.020037552
2019-02-23,2019-02-24 13:45:00,0.0,-0.00976664,0.027903767,-0.03555697
2019-02-23,2019-02-24 14:00:00,0.0,-0.02234563,0.019385142,-0.050173413
2019-02-23,2019-02-24 14:15:00,0.0,-0.040161025,0.017305098,-0.035818066
2019-02-23,2019-02-24 14:30:00,0.0,-0.048801187,0.064248346,-0.053058535
2019-02-23,2019-02-24 14:45:00,0.0,0.002591456,0.04567433,-0.02061791
2019-02-23,2019-02-24 15:00:00,0.0,-0.0013219406,-0.006096399,-0.030546496
2019-02-23,2019-02-24 15:15:00,0.0,-0.007467431,0.02392375,-0.05143332
2019-02-23,2019-02-24 15:30:00,0.0,-0.020830037,-0.011735476,-0.007922693
2019-02-23,2019-02-24 15:45:00,0.0,-0.024470076,-0.0066028717,-0.00812299
2019-02-23,2019-02-24 16:00:00,0.0,-0.02477257,0.037644986,-0.019789131
2019-02-23,2019-02-24 16:15:00,0.0,0.014810672,0.003153111,0.021365749
2019-02-23,2019-02-24 16:30:00,0.0,0.007322789,-0.00097094214,0.04030645
2019-02-23,2019-02-24 16:45:00,0.0,-0.017161237,0.00219724,0.021840865
2019-02-23,2019-02-24 17:00:00,0.0,0.028606588,0.034922644,0.03136365
2019-02-23,2019-02-24 17:15:00,0.0,0.038255293,0.068585336,0.03505786
2019-02-23,2019-02-24 17:30:00,0.0,0.04483862,0.018438756,0.06826002
2019-02-23,2019-02-24 17:45:00,0.0,0.015390762,0.033170182,0.061029162
2019-02-23,2019-02-24 18:00:00,0.0,0.03168929,-0.0018991296,0.06496224
2019-02-23,2019-02-24 18:15:00,0.0,0.05841901,-0.029238135,0.049780488
2019-02-23,2019-02-24 18:30:00,0.0,0.09910988,-0.020424876,0.048734967
2019-02-23,2019-02-24 18:45:00,0.0,0.095211364,-0.002507716,0.021338126
2019-02-23,2019-02-24 19:00:00,0.0,0.11200237,-0.046378467,0.014312969
2019-02-23,2019-02-24 19:15:00,0.0,0.102963224,-0.050307747,0.041128233
2019-02-23,2019-02-24 19:30:00,0.0,0.11258143,-0.0550855,0.024788
2019-02-23,2019-02-24 19:45:00,0.0,0.0864623,-0.062066395,0.04411329
2019-02-23,2019-02-24 20:00:00,0.0,0.08683995,-0.04821369,-0.011305266
2019-02-23,2019-02-24 20:15:00,0.0,0.04367325,-0.07381772,-0.04226267
2019-02-23,2019-02-24 20:30:00,0.0,0.04218157,-0.09476027,-0.058327276
2019-02-23,2019-02-24 20:45:00,0.0,0.051126365,-0.083295576,-0.04139195
2019-02-23,2019-02-24 21:00:00,0.0,-0.00097015005,-0.08562554,-0.10516675
2019-02-23,2019-02-24 21:15:00,0.0,0.067987785,-0.08966567,-0.06792355
2019-02-23,2019-02-24 21:30:00,0.0,0.118781984,-0.0690285,-0.11005865
2019-02-23,2019-02-24 21:45:00,0.0,0.11724927,-0.12344283,-0.12420761
2019-02-23,2019-02-24 22:00:00,0.0,0.12681733,-0.08119703,-0.0813615
2019-02-23,2019-02-24 22:15:00,0.0,0.18466967,-0.048990086,-0.17946011
2019-02-23,2019-02-24 22:30:00,0.0,0.19495001,-0.030905396,-0.15037452
2019-02-23,2019-02-24 22:45:00,0.0,0.21919942,0.06309635,-0.07625205
2019-02-23,2019-02-24 23:00:00,0.0,0.25136027,0.057431273,-0.11213501
2019-02-23,2019-02-24 23:15:00,0.007031,0.33598065,0.11270866,-0.10020139
2019-02-23,2019-02-24 23:30:00,0.091406,0.39152965,0.20501235,-0.0032303804
2019-02-23,2019-02-24 23:45:00,0.214453,0.51073045,0.27761817,0.029131731
2019-02-24,2019-02-25 00:00:00,0.267188,0.45601833,0.4338037,0.40925807
2019-02-24,2019-02-25 00:15:00,0.478125,0.5730196,0.5820398,0.56366
2019-02-24,2019-02-25 00:30:00,0.573047,0.75219464,0.8190598,0.77030754
2019-02-24,2019-02-25 00:45:00,0.727734,0.95273924,1.0018927,0.9739365
2019-02-24,2019-02-25 01:00:00,1.008984,1.152668,1.1862493,1.215239
2019-02-24,2019-02-25 01:15:00,1.226953,1.3525558,1.4692147,1.4480889
2019-02-24,2019-02-25 01:30:00,1.430859,1.5306389,1.6409713,1.7084798
2019-02-24,2019-02-25 01:45:00,1.666406,1.7352139,1.8318872,1.9193308
2019-02-24,2019-02-25 02:00:00,1.85625,1.898276,1.9979082,2.1595662
2019-02-24,2019-02-25 02:15:00,2.109375,2.0778916,2.1719542,2.3223584
2019-02-24,2019-02-25 02:30:00,2.211328,2.2123928,2.3438857,2.5322766
2019-02-24,2019-02-25 02:45:00,2.327344,2.3692498,2.4371529,2.6482708
2019-02-24,2019-02-25 03:00:00,2.397656,2.5039926,2.5563016,2.824454
2019-02-24,2019-02-25 03:15:00,2.548828,2.6280892,2.636909,2.875871
2019-02-24,2019-02-25 03:30:00,2.608594,2.696611,2.7754402,2.972161
2019-02-24,2019-02-25 03:45:00,2.707031,2.7888188,2.8734908,2.989515
2019-02-24,2019-02-25 04:00:00,2.742188,2.8284295,2.9604425,2.974144
2019-02-24,2019-02-25 04:15:00,2.794922,2.9046717,2.993371,2.984662
2019-02-24,2019-02-25 04:30:00,2.777344,2.8801029,2.9854372,3.005269
2019-02-24,2019-02-25 04:45:00,2.707031,2.8778827,3.021117,2.9620824
2019-02-24,2019-02-25 05:00:00,2.668359,2.853167,2.9596925,2.838302
2019-02-24,2019-02-25 05:15:00,2.626172,2.7697709,2.879969,2.8533561
2019-02-24,2019-02-25 05:30:00,2.288672,2.7266276,2.8688614,2.7814982
2019-02-24,2019-02-25 05:45:00,2.496094,2.613715,2.716803,2.6636183
2019-02-24,2019-02-25 06:00:00,2.496094,2.485294,2.659758,2.5415852
2019-02-24,2019-02-25 06:15:00,2.373047,2.380441,2.5499961,2.3859267
2019-02-24,2019-02-25 06:30:00,2.246484,2.2276866,2.4228866,2.2271981
2019-02-24,2019-02-25 06:45:00,2.042578,2.0676656,2.2537057,2.0377598
2019-02-24,2019-02-25 07:00:00,1.901953,1.867973,2.0820038,1.9094622
2019-02-24,2019-02-25 07:15:00,1.736719,1.6509361,1.8557245,1.7027735
2019-02-24,2019-02-25 07:30:00,1.469531,1.4629188,1.689027,1.5108106
2019-02-24,2019-02-25 07:45:00,0.8578129999999999,1.2449472,1.4778461,1.2712873
2019-02-24,2019-02-25 08:00:00,1.163672,1.0102707,1.2911183,1.090263
2019-02-24,2019-02-25 08:15:00,0.601172,0.8525291,1.1048121,0.8810561
2019-02-24,2019-02-25 08:30:00,0.6574220000000001,0.6798713,0.8862082,0.7001332
2019-02-24,2019-02-25 08:45:00,0.523828,0.55282444,0.73525447,0.5428749
2019-02-24,2019-02-25 09:00:00,0.376172,0.3867116,0.60189563,0.38603532
2019-02-24,2019-02-25 09:15:00,0.151172,0.30013207,0.40048522,0.29806867
2019-02-24,2019-02-25 09:30:00,0.098438,0.20321432,0.28872058,0.1650215
2019-02-24,2019-02-25 09:45:00,0.0105469999999999,0.1152264,0.20434785,0.09497347
2019-02-24,2019-02-25 10:00:00,0.0,0.017160146,0.08905186,0.019955289
2019-02-24,2019-02-25 10:15:00,0.0,0.00857994,0.04243756,-0.034018822
2019-02-24,2019-02-25 10:30:00,0.0,-0.0067042443,0.0018223542,-0.030470287
2019-02-24,2019-02-25 10:45:00,0.0,0.021008113,-0.016838498,-0.05323973
2019-02-24,2019-02-25 11:00:00,0.0,0.04355791,-0.06276454,-0.065314904
2019-02-24,2019-02-25 11:15:00,0.0,0.0359037,-0.041830327,-0.024185523
2019-02-24,2019-02-25 11:30:00,0.0,0.035589106,-0.021049038,-0.014379354
2019-02-24,2019-02-25 11:45:00,0.0,0.056876075,0.004811987,-0.0048950273
2019-02-24,2019-02-25 12:00:00,0.0,0.050314557,-0.008255323,0.011944705
2019-02-24,2019-02-25 12:15:00,0.0,0.07987973,-0.015204806,0.027661713
2019-02-24,2019-02-25 12:30:00,0.0,0.07770476,0.035211023,0.06701359
2019-02-24,2019-02-25 12:45:00,0.0,0.057761457,0.0640434,0.046077836
2019-02-24,2019-02-25 13:00:00,0.0,0.02482236,0.05653085,0.049263015
2019-02-24,2019-02-25 13:15:00,0.0,0.05269072,0.064296916,0.0437594
2019-02-24,2019-02-25 13:30:00,0.0,0.040408295,0.00079060276,0.023487931
2019-02-24,2019-02-25 13:45:00,0.0,0.049588345,-0.009457111,-0.008947428
2019-02-24,2019-02-25 14:00:00,0.0,0.0318155,-0.025923202,-0.011469732
2019-02-24,2019-02-25 14:15:00,0.0,-0.011843517,-0.02228056,-0.013049497
2019-02-24,2019-02-25 14:30:00,0.0,0.002859054,0.0036495435,-0.042502023
2019-02-24,2019-02-25 14:45:00,0.0,0.004725531,-0.016198307,-0.009075322
2019-02-24,2019-02-25 15:00:00,0.0,-0.014192601,-0.043881513,-0.041935556
2019-02-24,2019-02-25 15:15:00,0.0,0.006258488,-0.016918514,-0.04540624
2019-02-24,2019-02-25 15:30:00,0.0,0.00031825333,-0.043229267,-0.02212554
2019-02-24,2019-02-25 15:45:00,0.0,-0.005714363,-0.034941345,-0.013302898
2019-02-24,2019-02-25 16:00:00,0.0,-0.0018967635,-0.026038874,-0.0273796
2019-02-24,2019-02-25 16:15:00,0.0,0.015682762,-0.046184547,0.0007563557
2019-02-24,2019-02-25 16:30:00,0.0,0.023827026,-0.0135014765,0.006243201
2019-02-24,2019-02-25 16:45:00,0.0,0.017285304,-0.052008495,-0.00011647479
2019-02-24,2019-02-25 17:00:00,0.0,0.021078872,-0.0038428656,0.003953991
2019-02-24,2019-02-25 17:15:00,0.0,0.022641499,-0.0064221416,0.005323336
2019-02-24,2019-02-25 17:30:00,0.0,0.00077793887,-0.036868397,0.02174691
2019-02-24,2019-02-25 17:45:00,0.0,-0.008555476,-0.054293405,0.024022046
2019-02-24,2019-02-25 18:00:00,0.0,-0.028819991,-0.07897919,0.02379099
2019-02-24,2019-02-25 18:15:00,0.0,-0.028616916,-0.0687899,0.016357342
2019-02-24,2019-02-25 18:30:00,0.0,-0.01319344,-0.08112431,0.013204143
2019-02-24,2019-02-25 18:45:00,0.0,-0.005447547,-0.08410866,-0.0015906596
2019-02-24,2019-02-25 19:00:00,0.0,0.010317679,-0.088481724,-0.00080466055
2019-02-24,2019-02-25 19:15:00,0.0,0.016066896,-0.095338084,0.02938823
2019-02-24,2019-02-25 19:30:00,0.0,0.01164929,-0.086264424,0.022696283
2019-02-24,2019-02-25 19:45:00,0.0,-0.016396713,-0.049770083,0.046277363
2019-02-24,2019-02-25 20:00:00,0.0,0.0070972056,-0.07530411,0.0073044053
2019-02-24,2019-02-25 20:15:00,0.0,0.0067422055,-0.08016953,-0.02213217
2019-02-24,2019-02-25 20:30:00,0.0,0.01756932,-0.07835738,-0.038573112
2019-02-24,2019-02-25 20:45:00,0.0,0.037671868,-0.07070045,-0.028979534
2019-02-24,2019-02-25 21:00:00,0.0,0.026959686,-0.062119395,-0.08069144
2019-02-24,2019-02-25 21:15:00,0.0,0.024757754,-0.09127217,-0.06449473
2019-02-24,2019-02-25 21:30:00,0.0,0.058692183,-0.059919864,-0.10275497
2019-02-24,2019-02-25 21:45:00,0.0,0.07840937,-0.07366752,-0.12754595
2019-02-24,2019-02-25 22:00:00,0.0,0.077295065,-0.06571486,-0.09438116
2019-02-24,2019-02-25 22:15:00,0.0,0.074655466,-0.008551072,-0.18226822
