目标日期,起报时间,RMSE_Fusion_q2,RMSE_Fusion_q3,提升值_RMSE,date,avg_globalirrad,std_globalirrad,amp_globalirrad,mean_temperature,mean_humidity,mean_windspeed,season,cloud_factor,天气类型,光照波动性,气温,湿度,风速,季节
2018-08-25,2018-08-24,0.30634546589896616,0.41810590961492605,-0.11176044371595989,2018-08-25,133.80197916666665,172.77517782013277,565.93,25.283541666666665,76.37770833333333,3.2055208333333334,autumn,1.291275193423298,多云,稳定,高温,高湿,高风,autumn
2018-08-26,2018-08-25,0.24137972349490788,0.2552975350386581,-0.013917811543750214,2018-08-26,227.05708333333334,282.4964886970107,787.8,26.50208333333333,76.81625,2.7896875,autumn,1.24416505006419,晴天,不稳定,高温,高湿,低风,autumn
2018-08-27,2018-08-26,0.3806511677173648,0.4781641843625875,-0.09751301664522272,2018-08-27,176.87041666666667,203.614020497073,616.99,24.865624999999998,72.09385416666667,2.6177083333333333,autumn,1.15120449865623,多云,稳定,高温,高湿,低风,autumn
2018-08-28,2018-08-27,0.5901125194909274,0.33254913196764135,0.257563387523286,2018-08-28,244.51614583333333,309.9647025078477,792.12,26.8928125,63.818125,2.043125,autumn,1.267665577599361,晴天,不稳定,高温,高湿,低风,autumn
2018-08-29,2018-08-28,0.22897295862418895,0.44179605808599653,-0.21282309946180758,2018-08-29,115.3021875,130.21948493704673,324.43,24.584374999999998,61.108020833333335,2.8823958333333333,autumn,1.129375657401739,阴天,稳定,高温,高湿,高风,autumn
2018-08-30,2018-08-29,1.0460100716476755,0.5031077939164881,0.5429022777311874,2018-08-30,127.746875,170.44701196258526,539.71,23.66541666666667,71.55520833333334,2.2128125,autumn,1.3342558135244362,多云,稳定,高温,高湿,低风,autumn
2018-08-31,2018-08-30,0.27287136707959964,0.2857572423507233,-0.01288587527112367,2018-08-31,70.77260416666667,83.87456035175126,247.17,22.791979166666668,71.65729166666667,2.862604166666667,autumn,1.1851274960732336,阴天,稳定,高温,高湿,高风,autumn
2018-11-24,2018-11-23,0.3054878378349857,0.37769111642457237,-0.0722032785895867,2018-11-24,125.85895833333335,185.52348406024203,504.87,5.357604166666667,44.03604166666667,3.344583333333333,winter,1.4740586211974718,阴天,稳定,低温,高湿,高风,winter
2018-11-25,2018-11-24,0.2584376321541618,0.08030166026141014,0.17813597189275168,2018-11-25,124.64281249999999,184.01335461092083,500.86,6.691458333333333,36.99072916666667,1.7944791666666668,winter,1.4763254249786397,阴天,稳定,低温,低湿,低风,winter
2018-11-26,2018-11-25,0.1324929177463253,0.3362380022438606,-0.20374508449753528,2018-11-26,119.87854166666666,179.77648895505988,495.37,8.207395833333333,29.93822916666667,3.166770833333333,winter,1.4996552757147288,阴天,稳定,低温,低湿,高风,winter
2018-11-27,2018-11-26,0.26209605894601845,0.18682986927705636,0.07526618966896209,2018-11-27,123.44895833333334,182.88797750753943,498.07,3.9990625000000004,23.060104166666665,3.4004166666666666,winter,1.48148658761643,阴天,稳定,低温,低湿,高风,winter
2018-11-28,2018-11-27,0.07795348929318092,0.1327330501409087,-0.05477956084772777,2018-11-28,119.59593749999999,178.1532670458553,486.74,2.6719791666666666,33.28125,2.6701041666666665,winter,1.4896263976878723,阴天,稳定,低温,低湿,低风,winter
2018-11-29,2018-11-28,0.20095341613977072,0.34049477129852057,-0.13954135515874985,2018-11-29,113.36625,167.07670388020497,475.98,3.0163541666666664,60.69083333333333,1.8196875,winter,1.473778151843488,阴天,稳定,低温,高湿,低风,winter
2018-11-30,2018-11-29,0.14446001312414647,0.11387120865062407,0.0305888044735224,2018-11-30,108.77218749999999,167.3691326770238,477.3,4.4392708333333335,66.98125,1.6884375,winter,1.538712560490808,阴天,稳定,低温,高湿,低风,winter
2019-02-22,2019-02-21,0.23209341700737876,0.27408737758020985,-0.041993960572831085,2019-02-22,137.66635416666665,183.76774236788418,500.86,5.4593750000000005,38.949062500000004,1.4825,spring,1.3348776623409881,多云,稳定,低温,高湿,低风,spring
2019-02-23,2019-02-22,0.2528125621651998,0.39104261630604237,-0.13823005414084255,2019-02-23,186.62427083333333,251.244056452328,665.7,6.204375,35.13708333333333,2.0620833333333333,spring,1.3462560576081124,多云,不稳定,低温,低湿,低风,spring
2019-02-24,2019-02-23,0.5100840720956539,0.416160850890568,0.0939232212050859,2019-02-24,186.31802083333332,251.92881147624047,666.36,6.490520833333334,35.115625,4.145625,spring,1.3521440867464654,多云,不稳定,低温,低湿,高风,spring
2019-02-25,2019-02-24,0.15678271165595137,0.10722227560763392,0.04956043604831745,2019-02-25,158.89395833333333,223.05216925987304,630.08,5.4937499999999995,35.57416666666666,3.4525,spring,1.4037800442239996,多云,不稳定,低温,低湿,高风,spring
2019-02-26,2019-02-25,0.1517235789330867,0.2425918193479665,-0.09086824041487981,2019-02-26,78.71145833333334,103.8484931951519,281.96,6.038541666666667,33.06677083333333,2.763541666666667,spring,1.3193567248622124,阴天,稳定,低温,低湿,低风,spring
2019-02-27,2019-02-26,0.5234710600464182,0.1898615587234849,0.3336095013229333,2019-02-27,186.85083333333333,254.67579338472748,677.24,7.065520833333333,43.26416666666666,1.8091666666666668,spring,1.3629898645804146,多云,不稳定,低温,高湿,低风,spring
2019-02-28,2019-02-27,0.39951860788185933,0.16853328148066812,0.2309853264011912,2019-02-28,188.37125,254.90962588522896,674.1,8.218958333333333,50.916041666666665,2.537916666666667,spring,1.353229988822599,晴天,不稳定,低温,高湿,低风,spring
2019-05-25,2019-05-24,0.24910507663731546,0.17989673697741146,0.069208339659904,2019-05-25,308.41770833333334,347.99036790202655,893.55,29.790000000000003,38.57041666666667,4.101666666666667,summer,1.128308645616467,晴天,不稳定,高温,低湿,高风,summer
2019-05-26,2019-05-25,0.49667870560931554,0.5330214972297513,-0.0363427916204358,2019-05-26,170.79875,237.46885931356184,694.35,21.453437500000003,57.39125000000001,6.804895833333333,summer,1.390343067049488,多云,不稳定,高温,高湿,高风,summer
2019-05-27,2019-05-26,0.5050832404760252,0.34714686709950876,0.1579363733765164,2019-05-27,318.92541666666665,344.12282846900575,889.36,22.133020833333333,20.953020833333333,4.984270833333333,summer,1.0790072205178542,晴天,不稳定,高温,低湿,高风,summer
2019-05-28,2019-05-27,0.14291859379782113,0.10277784553076696,0.04014074826705416,2019-05-28,332.21489583333334,360.3089042941809,926.84,25.362604166666667,21.926666666666666,3.826041666666667,summer,1.0845657667029358,晴天,不稳定,高温,低湿,高风,summer
2019-05-29,2019-05-28,0.22088254930087434,0.19790590338382433,0.02297664591705001,2019-05-29,324.8809375,358.7914880703603,924.35,26.964479166666667,23.871875,5.8734375000000005,summer,1.1043783908250446,晴天,不稳定,高温,低湿,高风,summer
2019-05-30,2019-05-29,0.408190433432725,0.34668596337795066,0.06150447005477433,2019-05-30,279.47520833333334,304.9700757329933,886.4,24.009375000000002,20.448645833333334,5.799791666666667,summer,1.0912240712171788,晴天,不稳定,高温,低湿,高风,summer
2019-05-31,2019-05-30,0.2792349630154486,0.28796910602841835,-0.008734143012969764,2019-05-31,318.75864583333333,367.80298378234994,933.28,24.835416666666664,14.998333333333333,2.61375,summer,1.1538604126860283,晴天,不稳定,高温,低湿,低风,summer
