起报时间,预报时间,实际功率 (MW),PureLSTM预测功率 (MW),FusionModel预测功率 (MW),BiFusionModel预测功率 (MW)
2019/2/22,2019/2/23 0:00,1.297266,1.2506634,1.3102431,1.127478
2019/2/22,2019/2/23 0:15,1.18125,1.4070932,1.5823158,1.3538994
2019/2/22,2019/2/23 0:30,1.887891,1.5658792,1.8524657,1.5263478
2019/2/22,2019/2/23 0:45,2.021484,1.7022797,2.1270545,1.7103959
2019/2/22,2019/2/23 1:00,2.285156,1.8734826,2.4090242,1.836901
2019/2/22,2019/2/23 1:15,2.478516,2.0696654,2.6541684,2.0022845
2019/2/22,2019/2/23 1:30,2.657812,2.250756,2.9011714,2.1347635
2019/2/22,2019/2/23 1:45,2.844141,2.430744,3.0904782,2.2504866
2019/2/22,2019/2/23 2:00,3.121875,2.5549526,3.2786527,2.3906975
2019/2/22,2019/2/23 2:15,3.287109,2.719782,3.4542804,2.4950917
2019/2/22,2019/2/23 2:30,2.309766,2.8597524,3.580534,2.5343876
2019/2/22,2019/2/23 2:45,3.427734,2.9496872,3.653326,2.576234
2019/2/22,2019/2/23 3:00,2.211328,3.0845513,3.7884002,2.638906
2019/2/22,2019/2/23 3:15,3.469922,3.1719377,3.821605,2.5334682
2019/2/22,2019/2/23 3:30,3.15,3.2318962,3.8516026,2.4853594
2019/2/22,2019/2/23 3:45,3.410156,3.3147194,3.9260526,2.324333
2019/2/22,2019/2/23 4:00,4.151953,3.3220174,3.919816,2.216737
2019/2/22,2019/2/23 4:15,3.670312,3.3636403,3.978078,2.0360138
2019/2/22,2019/2/23 4:30,3.596484,3.4033108,3.9513137,1.9736189
2019/2/22,2019/2/23 4:45,3.723047,3.4578924,3.8509016,1.82753
2019/2/22,2019/2/23 5:00,2.580469,3.4526107,3.8171868,1.7255123
2019/2/22,2019/2/23 5:15,2.696484,3.4028988,3.7697315,1.6799703
2019/2/22,2019/2/23 5:30,4.310156,3.3236501,3.6626503,1.5603408
2019/2/22,2019/2/23 5:45,2.844141,3.2854462,3.6768286,1.504293
2019/2/22,2019/2/23 6:00,3.483984,3.183991,3.5236316,1.4376252
2019/2/22,2019/2/23 6:15,3.596484,3.0536554,3.340109,1.3207502
2019/2/22,2019/2/23 6:30,3.336328,2.9315288,3.2003493,1.2765952
2019/2/22,2019/2/23 6:45,3.367969,2.7715557,3.023596,1.1958616
2019/2/22,2019/2/23 7:00,3.026953,2.6069481,2.8826914,1.2051033
2019/2/22,2019/2/23 7:15,3.055078,2.3994477,2.6486826,1.1071401
2019/2/22,2019/2/23 7:30,2.896875,2.1616657,2.450542,1.074825
2019/2/22,2019/2/23 7:45,2.735156,1.9330456,2.237396,1.0321821
2019/2/22,2019/2/23 8:00,2.376562,1.6334164,1.9705437,1.0052942
2019/2/22,2019/2/23 8:15,1.701562,1.3699914,1.7414706,0.9393419
2019/2/22,2019/2/23 8:30,2.288672,1.1212282,1.4810482,0.8196676
2019/2/22,2019/2/23 8:45,2.014453,0.8620588,1.249592,0.7336892
2019/2/22,2019/2/23 9:00,0.667969,0.6015078,1.0037346,0.5874641
2019/2/22,2019/2/23 9:15,0.569531,0.42572835,0.82428175,0.52437717
2019/2/22,2019/2/23 9:30,0.569531,0.27515566,0.632276,0.45482162
2019/2/22,2019/2/23 9:45,0.492188,0.14725934,0.40576684,0.25095385
2019/2/22,2019/2/23 10:00,0.428906,0.082330704,0.23636459,0.2202346
2019/2/22,2019/2/23 10:15,0.158203,0.022646986,0.085748695,0.23329276
2019/2/22,2019/2/23 10:30,0.035156,0.006332155,0.023355521,0.18133296
2019/2/22,2019/2/23 10:45,0,0.008567807,-0.030298226,0.15118131
2019/2/22,2019/2/23 11:00,0,0.019662619,-0.070957646,0.17188412
2019/2/22,2019/2/23 11:15,0,0.009739995,-0.08319832,0.13095112
2019/2/22,2019/2/23 11:30,0,0.008578811,-0.090501726,0.09448012
2019/2/22,2019/2/23 11:45,0,0.029406793,-0.10198353,0.080777854
2019/2/22,2019/2/23 12:00,0,0.04843677,-0.10130562,0.04512027
2019/2/22,2019/2/23 12:15,0,0.0533489,-0.09794445,0.01619772
2019/2/22,2019/2/23 12:30,0,0.054919437,-0.08225861,-0.024900088
2019/2/22,2019/2/23 12:45,0,0.04827667,-0.076813966,-0.028339617
2019/2/22,2019/2/23 13:00,0,0.024826363,-0.087138325,-0.045657847
2019/2/22,2019/2/23 13:15,0,0.026680946,-0.0706843,-0.09077325
2019/2/22,2019/2/23 13:30,0,0.007982135,-0.08287186,-0.15315823
2019/2/22,2019/2/23 13:45,0,0.023869626,-0.09812932,-0.14913999
2019/2/22,2019/2/23 14:00,0,0.004286742,-0.07981232,-0.14896414
2019/2/22,2019/2/23 14:15,0,-0.000760298,-0.05731812,-0.09958151
2019/2/22,2019/2/23 14:30,0,0.015076906,-0.035994783,-0.069444
2019/2/22,2019/2/23 14:45,0,0.030227697,-0.05768098,-0.048372407
2019/2/22,2019/2/23 15:00,0,0.038806662,-0.04720202,-0.000148699
2019/2/22,2019/2/23 15:15,0,0.062331975,-0.049253404,0.03061628
2019/2/22,2019/2/23 15:30,0,0.068368584,-0.033902794,0.026948482
2019/2/22,2019/2/23 15:45,0,0.074841365,-0.03139084,0.09069012
2019/2/22,2019/2/23 16:00,0,0.05787781,-0.026646882,0.06254107
2019/2/22,2019/2/23 16:15,0,0.039465923,-0.01781033,0.077926315
2019/2/22,2019/2/23 16:30,0,0.03419035,-0.012290686,0.12887686
2019/2/22,2019/2/23 16:45,0,0.013332814,-0.002730086,0.10878956
2019/2/22,2019/2/23 17:00,0,0.002500206,0.003194831,0.081850775
2019/2/22,2019/2/23 17:15,0,-0.007966973,0.007107705,0.09722378
2019/2/22,2019/2/23 17:30,0,-0.005482301,-0.005029023,0.10454443
2019/2/22,2019/2/23 17:45,0,0.001831278,-0.013976865,0.078880996
2019/2/22,2019/2/23 18:00,0,0.003000408,-0.008643301,0.026805328
2019/2/22,2019/2/23 18:15,0,-0.006986484,-0.005135397,-0.010119986
2019/2/22,2019/2/23 18:30,0,0.019621454,-0.021743827,-0.04936665
2019/2/22,2019/2/23 18:45,0,0.017568443,-0.012008201,-0.072294645
2019/2/22,2019/2/23 19:00,0,0.031956103,-0.013724549,-0.10707346
2019/2/22,2019/2/23 19:15,0,0.04611405,-0.023536617,-0.14144115
2019/2/22,2019/2/23 19:30,0,0.027188241,-0.006846856,-0.103326276
2019/2/22,2019/2/23 19:45,0,0.020359918,-0.023950327,-0.11781517
2019/2/22,2019/2/23 20:00,0,0.0261187,-0.051116493,-0.112512305
2019/2/22,2019/2/23 20:15,0,0.014126241,-0.054846544,-0.076878995
2019/2/22,2019/2/23 20:30,0,0.008389555,-0.048548393,-0.00835605
2019/2/22,2019/2/23 20:45,0,-0.010882977,-0.056721896,-0.01871315
2019/2/22,2019/2/23 21:00,0,-0.033965483,-0.0684899,-0.008373559
2019/2/22,2019/2/23 21:15,0,-0.041051794,-0.057089116,0.05826807
2019/2/22,2019/2/23 21:30,0,-0.029115759,-0.04103819,0.050626345
