起报时间,预报时间,实际功率 (MW),BiFusionModel预测功率 (MW)
2018-08-26,2018-08-27 00:00:00,1.297266,1.127478
2018-08-26,2018-08-27 00:15:00,1.18125,1.3538994
2018-08-26,2018-08-27 00:30:00,1.887891,1.5263478
2018-08-26,2018-08-27 00:45:00,2.021484,1.7103959
2018-08-26,2018-08-27 01:00:00,2.285156,1.836901
2018-08-26,2018-08-27 01:15:00,2.478516,2.0022845
2018-08-26,2018-08-27 01:30:00,2.657812,2.1347635
2018-08-26,2018-08-27 01:45:00,2.844141,2.2504866
2018-08-26,2018-08-27 02:00:00,3.121875,2.3906975
2018-08-26,2018-08-27 02:15:00,3.287109,2.4950917
2018-08-26,2018-08-27 02:30:00,2.309766,2.5343876
2018-08-26,2018-08-27 02:45:00,3.427734,2.576234
2018-08-26,2018-08-27 03:00:00,2.211328,2.638906
2018-08-26,2018-08-27 03:15:00,3.469922,2.5334682
2018-08-26,2018-08-27 03:30:00,3.15,2.4853594
2018-08-26,2018-08-27 03:45:00,3.410156,2.324333
2018-08-26,2018-08-27 04:00:00,4.151953,2.216737
2018-08-26,2018-08-27 04:15:00,3.670312000000001,2.0360138
2018-08-26,2018-08-27 04:30:00,3.596484,1.9736189
2018-08-26,2018-08-27 04:45:00,3.723047,1.82753
2018-08-26,2018-08-27 05:00:00,2.580469,1.7255123
2018-08-26,2018-08-27 05:15:00,2.696484,1.6799703
2018-08-26,2018-08-27 05:30:00,4.310156,1.5603408
2018-08-26,2018-08-27 05:45:00,2.844141,1.504293
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,1.4376252
2018-08-26,2018-08-27 06:15:00,3.596484,1.3207502
2018-08-26,2018-08-27 06:30:00,3.336328,1.2765952
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,1.1958616
2018-08-26,2018-08-27 07:00:00,3.026953,1.2051033
2018-08-26,2018-08-27 07:15:00,3.055078,1.1071401
2018-08-26,2018-08-27 07:30:00,2.896875,1.074825
2018-08-26,2018-08-27 07:45:00,2.735156,1.0321821
2018-08-26,2018-08-27 08:00:00,2.376562,1.0052942
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,0.9393419
2018-08-26,2018-08-27 08:30:00,2.288672,0.8196676
2018-08-26,2018-08-27 08:45:00,2.014453,0.7336892
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,0.5874641
2018-08-26,2018-08-27 09:15:00,0.569531,0.52437717
2018-08-26,2018-08-27 09:30:00,0.569531,0.45482162
2018-08-26,2018-08-27 09:45:00,0.492188,0.25095385
2018-08-26,2018-08-27 10:00:00,0.428906,0.2202346
2018-08-26,2018-08-27 10:15:00,0.158203,0.23329276
2018-08-26,2018-08-27 10:30:00,0.035156,0.18133296
2018-08-26,2018-08-27 10:45:00,0.0,0.15118131
2018-08-26,2018-08-27 11:00:00,0.0,0.17188412
2018-08-26,2018-08-27 11:15:00,0.0,0.13095112
2018-08-26,2018-08-27 11:30:00,0.0,0.09448012
2018-08-26,2018-08-27 11:45:00,0.0,0.080777854
2018-08-26,2018-08-27 12:00:00,0.0,0.04512027
2018-08-26,2018-08-27 12:15:00,0.0,0.01619772
2018-08-26,2018-08-27 12:30:00,0.0,-0.024900088
2018-08-26,2018-08-27 12:45:00,0.0,-0.028339617
2018-08-26,2018-08-27 13:00:00,0.0,-0.045657847
2018-08-26,2018-08-27 13:15:00,0.0,-0.09077325
2018-08-26,2018-08-27 13:30:00,0.0,-0.15315823
2018-08-26,2018-08-27 13:45:00,0.0,-0.14913999
2018-08-26,2018-08-27 14:00:00,0.0,-0.14896414
2018-08-26,2018-08-27 14:15:00,0.0,-0.09958151
2018-08-26,2018-08-27 14:30:00,0.0,-0.069444
2018-08-26,2018-08-27 14:45:00,0.0,-0.048372407
2018-08-26,2018-08-27 15:00:00,0.0,-0.00014869869
2018-08-26,2018-08-27 15:15:00,0.0,0.03061628
2018-08-26,2018-08-27 15:30:00,0.0,0.026948482
2018-08-26,2018-08-27 15:45:00,0.0,0.09069012
2018-08-26,2018-08-27 16:00:00,0.0,0.06254107
2018-08-26,2018-08-27 16:15:00,0.0,0.077926315
2018-08-26,2018-08-27 16:30:00,0.0,0.12887686
2018-08-26,2018-08-27 16:45:00,0.0,0.10878956
2018-08-26,2018-08-27 17:00:00,0.0,0.081850775
2018-08-26,2018-08-27 17:15:00,0.0,0.09722378
2018-08-26,2018-08-27 17:30:00,0.0,0.10454443
2018-08-26,2018-08-27 17:45:00,0.0,0.078880996
2018-08-26,2018-08-27 18:00:00,0.0,0.026805328
2018-08-26,2018-08-27 18:15:00,0.0,-0.010119986
2018-08-26,2018-08-27 18:30:00,0.0,-0.04936665
2018-08-26,2018-08-27 18:45:00,0.0,-0.072294645
2018-08-26,2018-08-27 19:00:00,0.0,-0.10707346
2018-08-26,2018-08-27 19:15:00,0.0,-0.14144115
2018-08-26,2018-08-27 19:30:00,0.0,-0.103326276
2018-08-26,2018-08-27 19:45:00,0.0,-0.11781517
2018-08-26,2018-08-27 20:00:00,0.0,-0.112512305
2018-08-26,2018-08-27 20:15:00,0.0,-0.076878995
2018-08-26,2018-08-27 20:30:00,0.0,-0.00835605
2018-08-26,2018-08-27 20:45:00,0.0,-0.01871315
2018-08-26,2018-08-27 21:00:00,0.0,-0.0083735585
2018-08-26,2018-08-27 21:15:00,0.0,0.05826807
2018-08-26,2018-08-27 21:30:00,0.0,0.050626345
2018-08-26,2018-08-27 21:45:00,0.0,0.085907474
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,0.09560779
2018-08-26,2018-08-27 22:15:00,0.0,0.1540713
2018-08-26,2018-08-27 22:30:00,0.196875,0.17966782
2018-08-26,2018-08-27 22:45:00,0.319922,0.21914932
2018-08-26,2018-08-27 23:00:00,0.341016,0.31670377
2018-08-26,2018-08-27 23:15:00,0.551953,0.38696465
2018-08-26,2018-08-27 23:30:00,0.566016,0.48912865
2018-08-26,2018-08-27 23:45:00,0.73125,0.6278566
2018-08-26,2018-08-27 00:15:00,1.18125,1.4207525
2018-08-26,2018-08-27 00:30:00,1.887891,1.6713582
2018-08-26,2018-08-27 00:45:00,2.021484,1.8471191
2018-08-26,2018-08-27 01:00:00,2.285156,2.0290606
2018-08-26,2018-08-27 01:15:00,2.478516,2.1535466
2018-08-26,2018-08-27 01:30:00,2.657812,2.2756379
2018-08-26,2018-08-27 01:45:00,2.844141,2.3973103
2018-08-26,2018-08-27 02:00:00,3.121875,2.4639447
2018-08-26,2018-08-27 02:15:00,3.287109,2.5571334
2018-08-26,2018-08-27 02:30:00,2.309766,2.6079428
2018-08-26,2018-08-27 02:45:00,3.427734,2.5998287
2018-08-26,2018-08-27 03:00:00,2.211328,2.590276
2018-08-26,2018-08-27 03:15:00,3.469922,2.5938332
2018-08-26,2018-08-27 03:30:00,3.15,2.4476008
2018-08-26,2018-08-27 03:45:00,3.410156,2.354593
2018-08-26,2018-08-27 04:00:00,4.151953,2.1630173
2018-08-26,2018-08-27 04:15:00,3.670312000000001,2.0313513
2018-08-26,2018-08-27 04:30:00,3.596484,1.8325018
2018-08-26,2018-08-27 04:45:00,3.723047,1.7493124
2018-08-26,2018-08-27 05:00:00,2.580469,1.585071
2018-08-26,2018-08-27 05:15:00,2.696484,1.4801916
2018-08-26,2018-08-27 05:30:00,4.310156,1.4279565
2018-08-26,2018-08-27 05:45:00,2.844141,1.3179742
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,1.2626204
2018-08-26,2018-08-27 06:15:00,3.596484,1.2060932
2018-08-26,2018-08-27 06:30:00,3.336328,1.114724
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,1.0787519
2018-08-26,2018-08-27 07:00:00,3.026953,1.017915
2018-08-26,2018-08-27 07:15:00,3.055078,1.0376415
2018-08-26,2018-08-27 07:30:00,2.896875,0.97494584
2018-08-26,2018-08-27 07:45:00,2.735156,0.9512535
2018-08-26,2018-08-27 08:00:00,2.376562,0.93859005
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,0.9190345
2018-08-26,2018-08-27 08:30:00,2.288672,0.881618
2018-08-26,2018-08-27 08:45:00,2.014453,0.7899711
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,0.716241
2018-08-26,2018-08-27 09:15:00,0.569531,0.5872117
2018-08-26,2018-08-27 09:30:00,0.569531,0.52094865
